type_chop	i	j	num_times_chop_observed	total_num_chops_of_this_type	chop_probability
N	0	0	566085	822095	0.688588
N	0	1	91869	822095	0.11175
N	0	2	15011	822095	0.0182594
N	0	3	2404	822095	0.00292424
N	0	4	423	822095	0.000514539
N	0	5	66	822095	8.02827e-05
N	0	6	17	822095	2.06789e-05
N	0	8	1	822095	1.2164e-06
N	1	0	93091	822095	0.113236
N	1	1	21704	822095	0.0264008
N	1	2	4538	822095	0.00552004
N	1	3	930	822095	0.00113126
N	1	4	160	822095	0.000194625
N	1	5	27	822095	3.28429e-05
N	1	6	10	822095	1.2164e-05
N	2	0	15134	822095	0.0184091
N	2	1	4536	822095	0.00551761
N	2	2	1166	822095	0.00141833
N	2	3	258	822095	0.000313832
N	2	4	55	822095	6.69022e-05
N	2	5	17	822095	2.06789e-05
N	2	6	3	822095	3.64921e-06
N	3	0	2486	822095	0.00302398
N	3	1	932	822095	0.00113369
N	3	2	257	822095	0.000312616
N	3	3	80	822095	9.73124e-05
N	3	4	17	822095	2.06789e-05
N	3	5	7	822095	8.51483e-06
N	3	6	2	822095	2.43281e-06
N	4	0	382	822095	0.000464666
N	4	1	194	822095	0.000235982
N	4	2	62	822095	7.54171e-05
N	4	3	23	822095	2.79773e-05
N	4	4	4	822095	4.86562e-06
N	5	0	64	822095	7.78499e-05
N	5	1	41	822095	4.98726e-05
N	5	2	6	822095	7.29843e-06
N	5	3	5	822095	6.08202e-06
N	5	5	1	822095	1.2164e-06
N	6	0	13	822095	1.58133e-05
N	6	1	3	822095	3.64921e-06
N	6	2	4	822095	4.86562e-06
N	6	3	1	822095	1.2164e-06
N	7	0	4	822095	4.86562e-06
N	7	1	1	822095	1.2164e-06
N	8	4	1	822095	1.2164e-06
L	0	0	9334	13250	0.704453
L	0	1	1207	13250	0.0910943
L	0	2	184	13250	0.0138868
L	0	3	33	13250	0.00249057
L	0	4	6	13250	0.00045283
L	0	5	1	13250	7.54717e-05
L	0	6	1	13250	7.54717e-05
L	1	0	1627	13250	0.122792
L	1	1	310	13250	0.0233962
L	1	2	63	13250	0.00475472
L	1	3	12	13250	0.00090566
L	1	4	2	13250	0.000150943
L	2	0	291	13250	0.0219623
L	2	1	72	13250	0.00543396
L	2	2	14	13250	0.0010566
L	2	3	4	13250	0.000301887
L	3	0	49	13250	0.00369811
L	3	1	20	13250	0.00150943
L	3	2	3	13250	0.000226415
L	3	3	2	13250	0.000150943
L	4	0	9	13250	0.000679245
L	4	1	3	13250	0.000226415
L	4	2	1	13250	7.54717e-05
L	4	3	1	13250	7.54717e-05
L	5	3	1	13250	7.54717e-05
R	0	0	9373	13250	0.707396
R	0	1	1557	13250	0.117509
R	0	2	295	13250	0.0222642
R	0	3	45	13250	0.00339623
R	0	4	13	13250	0.000981132
R	0	5	2	13250	0.000150943
R	1	0	1236	13250	0.093283
R	1	1	283	13250	0.0213585
R	1	2	87	13250	0.00656604
R	1	3	10	13250	0.000754717
R	1	4	2	13250	0.000150943
R	2	0	180	13250	0.0135849
R	2	1	72	13250	0.00543396
R	2	2	29	13250	0.00218868
R	2	3	5	13250	0.000377358
R	2	4	3	13250	0.000226415
R	3	0	28	13250	0.00211321
R	3	1	10	13250	0.000754717
R	3	2	2	13250	0.000150943
R	3	3	3	13250	0.000226415
R	4	0	8	13250	0.000603774
R	4	1	2	13250	0.000150943
R	4	2	1	13250	7.54717e-05
R	4	3	1	13250	7.54717e-05
R	5	0	1	13250	7.54717e-05
R	5	3	1	13250	7.54717e-05
R	6	0	1	13250	7.54717e-05
B	0	1	30	57	0.526316
B	0	2	4	57	0.0701754
B	1	0	15	57	0.263158
B	1	1	1	57	0.0175439
B	1	2	1	57	0.0175439
B	2	0	4	57	0.0701754
B	3	0	1	57	0.0175439
B	3	1	1	57	0.0175439
