type_chop	i	j	num_times_chop_observed	total_num_chops_of_this_type	chop_probability
N	0	0	904292	945229	0.956691
N	0	1	7917	945229	0.00837575
N	0	2	4867	945229	0.00514902
N	0	3	2753	945229	0.00291252
N	0	4	1696	945229	0.00179427
N	0	5	1028	945229	0.00108757
N	0	6	602	945229	0.000636883
N	0	7	349	945229	0.000369223
N	0	8	204	945229	0.000215821
N	0	9	161	945229	0.000170329
N	0	10	108	945229	0.000114258
N	0	11	61	945229	6.45346e-05
N	0	12	43	945229	4.54916e-05
N	0	13	17	945229	1.79851e-05
N	0	14	10	945229	1.05794e-05
N	0	15	9	945229	9.5215e-06
N	0	16	4	945229	4.23178e-06
N	0	17	4	945229	4.23178e-06
N	0	18	4	945229	4.23178e-06
N	0	19	1	945229	1.05794e-06
N	0	21	1	945229	1.05794e-06
N	0	22	1	945229	1.05794e-06
N	0	24	1	945229	1.05794e-06
N	1	0	7897	945229	0.00835459
N	1	1	154	945229	0.000162923
N	1	2	91	945229	9.6273e-05
N	1	3	46	945229	4.86655e-05
N	1	4	22	945229	2.32748e-05
N	1	5	24	945229	2.53907e-05
N	1	6	12	945229	1.26953e-05
N	1	7	3	945229	3.17383e-06
N	1	8	2	945229	2.11589e-06
N	1	9	4	945229	4.23178e-06
N	1	10	2	945229	2.11589e-06
N	1	11	1	945229	1.05794e-06
N	2	0	4839	945229	0.00511939
N	2	1	78	945229	8.25197e-05
N	2	2	48	945229	5.07813e-05
N	2	3	29	945229	3.06804e-05
N	2	4	14	945229	1.48112e-05
N	2	5	9	945229	9.5215e-06
N	2	6	10	945229	1.05794e-05
N	2	7	3	945229	3.17383e-06
N	2	8	4	945229	4.23178e-06
N	2	9	3	945229	3.17383e-06
N	2	11	1	945229	1.05794e-06
N	3	0	2894	945229	0.00306169
N	3	1	71	945229	7.51141e-05
N	3	2	28	945229	2.96225e-05
N	3	3	26	945229	2.75066e-05
N	3	4	12	945229	1.26953e-05
N	3	5	7	945229	7.40561e-06
N	3	6	5	945229	5.28972e-06
N	3	7	3	945229	3.17383e-06
N	3	8	3	945229	3.17383e-06
N	3	9	2	945229	2.11589e-06
N	3	12	1	945229	1.05794e-06
N	3	13	1	945229	1.05794e-06
N	4	0	1712	945229	0.0018112
N	4	1	37	945229	3.9144e-05
N	4	2	22	945229	2.32748e-05
N	4	3	9	945229	9.5215e-06
N	4	4	8	945229	8.46356e-06
N	4	5	2	945229	2.11589e-06
N	4	6	4	945229	4.23178e-06
N	4	7	2	945229	2.11589e-06
N	4	9	1	945229	1.05794e-06
N	4	12	1	945229	1.05794e-06
N	5	0	1084	945229	0.00114681
N	5	1	20	945229	2.11589e-05
N	5	2	10	945229	1.05794e-05
N	5	3	8	945229	8.46356e-06
N	5	4	2	945229	2.11589e-06
N	5	5	2	945229	2.11589e-06
N	5	6	1	945229	1.05794e-06
N	5	10	1	945229	1.05794e-06
N	6	0	622	945229	0.000658042
N	6	1	11	945229	1.16374e-05
N	6	2	6	945229	6.34767e-06
N	6	3	2	945229	2.11589e-06
N	6	4	3	945229	3.17383e-06
N	6	5	2	945229	2.11589e-06
N	6	6	1	945229	1.05794e-06
N	6	9	1	945229	1.05794e-06
N	6	11	1	945229	1.05794e-06
N	7	0	418	945229	0.000442221
N	7	1	4	945229	4.23178e-06
N	7	2	4	945229	4.23178e-06
N	7	3	4	945229	4.23178e-06
N	7	4	2	945229	2.11589e-06
N	7	5	1	945229	1.05794e-06
N	7	6	2	945229	2.11589e-06
N	7	7	2	945229	2.11589e-06
N	8	0	260	945229	0.000275066
N	8	1	3	945229	3.17383e-06
N	8	2	4	945229	4.23178e-06
N	8	3	2	945229	2.11589e-06
N	8	7	1	945229	1.05794e-06
N	8	15	1	945229	1.05794e-06
N	9	0	174	945229	0.000184082
N	9	1	1	945229	1.05794e-06
N	9	2	2	945229	2.11589e-06
N	9	3	1	945229	1.05794e-06
N	9	4	1	945229	1.05794e-06
N	9	6	1	945229	1.05794e-06
N	10	0	102	945229	0.00010791
N	10	1	1	945229	1.05794e-06
N	11	0	61	945229	6.45346e-05
N	11	1	1	945229	1.05794e-06
N	11	2	1	945229	1.05794e-06
N	12	0	48	945229	5.07813e-05
N	12	1	1	945229	1.05794e-06
N	13	0	28	945229	2.96225e-05
N	13	3	1	945229	1.05794e-06
N	13	11	1	945229	1.05794e-06
N	14	0	13	945229	1.37533e-05
N	14	4	1	945229	1.05794e-06
N	14	7	1	945229	1.05794e-06
N	15	0	6	945229	6.34767e-06
N	16	0	5	945229	5.28972e-06
N	16	5	1	945229	1.05794e-06
N	17	0	2	945229	2.11589e-06
N	18	0	5	945229	5.28972e-06
N	20	0	3	945229	3.17383e-06
N	21	0	1	945229	1.05794e-06
N	23	0	1	945229	1.05794e-06
L	0	0	10797	11961	0.902684
L	0	1	227	11961	0.0189783
L	0	2	146	11961	0.0122063
L	0	3	89	11961	0.00744085
L	0	4	47	11961	0.00392944
L	0	5	24	11961	0.00200652
L	0	6	15	11961	0.00125408
L	0	7	12	11961	0.00100326
L	0	8	7	11961	0.000585235
L	0	9	4	11961	0.00033442
L	0	10	2	11961	0.00016721
L	0	12	2	11961	0.00016721
L	0	13	3	11961	0.000250815
L	0	15	1	11961	8.3605e-05
L	1	0	222	11961	0.0185603
L	1	1	1	11961	8.3605e-05
L	1	2	3	11961	0.000250815
L	1	4	2	11961	0.00016721
L	1	5	1	11961	8.3605e-05
L	2	0	136	11961	0.0113703
L	2	1	3	11961	0.000250815
L	2	3	1	11961	8.3605e-05
L	2	4	1	11961	8.3605e-05
L	2	5	1	11961	8.3605e-05
L	2	11	1	11961	8.3605e-05
L	3	0	75	11961	0.00627038
L	3	4	1	11961	8.3605e-05
L	4	0	45	11961	0.00376223
L	5	0	28	11961	0.00234094
L	5	3	1	11961	8.3605e-05
L	6	0	17	11961	0.00142129
L	6	1	1	11961	8.3605e-05
L	6	2	2	11961	0.00016721
L	6	4	1	11961	8.3605e-05
L	6	6	1	11961	8.3605e-05
L	7	0	13	11961	0.00108687
L	7	1	1	11961	8.3605e-05
L	7	2	1	11961	8.3605e-05
L	8	0	12	11961	0.00100326
L	9	0	6	11961	0.00050163
L	10	0	3	11961	0.000250815
L	11	0	4	11961	0.00033442
L	15	0	1	11961	8.3605e-05
R	0	0	10799	11961	0.902851
R	0	1	238	11961	0.019898
R	0	2	125	11961	0.0104506
R	0	3	90	11961	0.00752445
R	0	4	75	11961	0.00627038
R	0	5	36	11961	0.00300978
R	0	6	10	11961	0.00083605
R	0	7	7	11961	0.000585235
R	0	8	6	11961	0.00050163
R	0	9	4	11961	0.00033442
R	0	10	3	11961	0.000250815
R	0	11	1	11961	8.3605e-05
R	0	12	2	11961	0.00016721
R	0	14	1	11961	8.3605e-05
R	0	15	1	11961	8.3605e-05
R	1	0	217	11961	0.0181423
R	1	1	4	11961	0.00033442
R	1	2	3	11961	0.000250815
R	1	3	3	11961	0.000250815
R	2	0	123	11961	0.0102834
R	2	1	2	11961	0.00016721
R	2	2	1	11961	8.3605e-05
R	2	4	1	11961	8.3605e-05
R	2	5	1	11961	8.3605e-05
R	3	0	68	11961	0.00568514
R	3	1	1	11961	8.3605e-05
R	3	2	1	11961	8.3605e-05
R	4	0	52	11961	0.00434746
R	4	1	1	11961	8.3605e-05
R	4	2	1	11961	8.3605e-05
R	5	0	40	11961	0.0033442
R	5	2	1	11961	8.3605e-05
R	5	3	1	11961	8.3605e-05
R	6	0	17	11961	0.00142129
R	7	0	10	11961	0.00083605
R	7	1	1	11961	8.3605e-05
R	8	0	4	11961	0.00033442
R	9	0	8	11961	0.00066884
R	11	0	1	11961	8.3605e-05
R	12	0	1	11961	8.3605e-05
B	0	1	3	33	0.0909091
B	0	2	6	33	0.181818
B	0	3	3	33	0.0909091
B	0	4	4	33	0.121212
B	0	7	2	33	0.0606061
B	1	0	9	33	0.272727
B	2	0	4	33	0.121212
B	3	0	1	33	0.030303
B	4	0	1	33	0.030303
